Dbase,StudyID,Taxon,Trait.type,Beta,Beta_SE,abs_Beta,Gamma,Gamma_SE,GamPos,GamNeg,Species
WPetal,19WP,P,L,NA,NA,NA,-0.28,NA,NA,-0.28,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.01,NA,NA,-0.01,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,0.02,NA,0.02,NA,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.01,NA,NA,-0.01,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,0.38,NA,0.38,NA,Helianthus.anomalus
WPetal,19WP,P,L,0.34,NA,0.34,0.08,NA,0.08,NA,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,0.02,NA,0.02,NA,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.01,NA,NA,-0.01,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,0.05,NA,0.05,NA,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,0.1,NA,0.1,NA,Helianthus.anomalus
WPetal,20WP,I,S,-0.064,0.024,0.064,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,20WP,I,S,-0.014,0.024,0.014,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,20WP,I,S,-0.062,0.024,0.062,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,20WP,I,S,-0.079,0.023,0.079,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,20WP,I,S,-0.057,0.024,0.057,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,20WP,I,S,-0.059,0.025,0.059,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,20WP,I,S,-0.009,0.024,0.009,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,20WP,I,S,-0.052,0.025,0.052,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,20WP,I,S,-0.088,0.041,0.088,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,20WP,I,S,0.002,0.064,0.002,NA,NA,NA,NA,Drosophila.mojavensis
WPetal,21WP,P,L,0.737,0.038,0.737,1,0.118,1,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.131,0.019,0.131,0.088,0.23,0.088,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,-1.004,0.026,1.004,-0.03,0.02,NA,-0.03,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.405,0.038,0.405,-0.127,0.015,NA,-0.127,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.539,0.019,0.539,0.062,0.016,0.062,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.599,0.026,0.599,0.173,0.012,0.173,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.094,0.037,0.094,-0.09,0.029,NA,-0.09,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.127,0.015,0.127,0.195,0.02,0.195,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.232,0.023,0.232,-0.004,0.003,NA,-0.004,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.061,0.045,0.061,0.191,0.32,0.191,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.025,0.033,0.025,0.092,0.275,0.092,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.029,0.08,0.029,-0.016,0.009,NA,-0.016,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.392,0.024,0.392,0.038,0.015,0.038,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.454,0.033,0.454,0.07,0.022,0.07,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.328,0.077,0.328,0.011,0.007,0.011,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.085,0.024,0.085,-0.026,0.016,NA,-0.026,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.059,0.027,0.059,-0.018,0.011,NA,-0.018,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.18,0.07,0.18,0.001,0.001,0.001,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.451,0.086,0.451,0.547,0.222,0.547,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.364,0.268,0.364,1.26,2.445,1.26,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.048,0.033,0.048,-0.009,0.008,NA,-0.009,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.365,0.07,0.365,0.146,0.044,0.146,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.441,0.022,0.441,0.099,0.011,0.099,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.383,0.028,0.383,0.054,0.017,0.054,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.005,0.07,0.005,-0.006,0.027,NA,-0.006,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.003,0.018,0.003,-0.004,0.007,NA,-0.004,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.002,0.029,0.002,-0.005,0.008,NA,-0.005,Chamaecrista.fasciculata
WPetal,21WP,P,L,2.7,0.358,2.7,2.209,0.419,2.209,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.047,0.026,0.047,0.007,0.026,0.007,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.029,0.029,0.029,-0.078,0.028,NA,-0.078,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.211,0.376,0.211,0.011,0.248,0.011,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.394,0.03,0.394,0.108,0.019,0.108,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.458,0.028,0.458,0.124,0.02,0.124,NA,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.609,0.36,0.609,-0.041,0.254,NA,-0.041,Chamaecrista.fasciculata
WPetal,21WP,P,L,-0.059,0.007,0.059,-0.002,0.008,NA,-0.002,Chamaecrista.fasciculata
WPetal,21WP,P,L,0.004,0.027,0.004,0.002,0.004,0.002,NA,Chamaecrista.fasciculata
WPetal,22WP,I,S,0.29,0.07,0.29,-0.17,0.06,NA,-0.17,Allonemobius.socius
WPetal,22WP,I,S,0.02,0.06,0.02,0.02,0.05,0.02,NA,Allonemobius.socius
WPetal,22WP,I,S,-0.02,0.09,0.02,0.1,0.04,0.1,NA,Allonemobius.socius
WPetal,22WP,I,S,0.44,0.14,0.44,-0.27,0.14,NA,-0.27,Allonemobius.socius
WPetal,22WP,I,S,-0.15,0.15,0.15,-0.13,0.15,NA,-0.13,Allonemobius.socius
WPetal,22WP,I,S,0.01,0.09,0.01,0.06,0.08,0.06,NA,Allonemobius.socius
WPetal,23WP,I,S,0.27,0.07,0.27,NA,NA,NA,NA,Allonemobius.socius
WPetal,23WP,I,S,0.19,0.07,0.19,NA,NA,NA,NA,Allonemobius.socius
WPetal,23WP,I,S,0.23,0.07,0.23,NA,NA,NA,NA,Allonemobius.socius
WPetal,23WP,I,S,0.1,0.07,0.1,NA,NA,NA,NA,Allonemobius.socius
WPetal,23WP,I,M,0.25,0.08,0.25,NA,NA,NA,NA,Allonemobius.socius
WPetal,23WP,I,M,-0.05,0.08,0.05,NA,NA,NA,NA,Allonemobius.socius
WPetal,23WP,I,M,0.28,0.08,0.28,NA,NA,NA,NA,Allonemobius.socius
WPetal,23WP,I,M,-0.11,0.08,0.11,NA,NA,NA,NA,Allonemobius.socius
WPetal,24WP,V,L,-0.212,0.021,0.212,-0.027,0.014,NA,-0.003,Parsus.major
WPetal,24WP,V,L,-0.065,0.021,0.065,0.002,0.014,0.002,NA,Parsus.major
WPetal,24WP,V,L,0.081,0.02,0.081,-0.057,0.014,NA,-0.002,Parsus.major
WPetal,24WP,V,L,-0.029,0.02,0.029,-0.006,0.014,NA,-0.006,Parsus.major
WPetal,24WP,V,L,0.019,0.019,0.019,-0.003,0.012,0.009,NA,Parsus.major
WPetal,24WP,V,L,0.04,0.019,0.04,0.012,0.012,0.012,NA,Parsus.major
WPetal,25WP,V,S,0.022,NA,0.022,0.018,NA,0.018,NA,Hyla.versicolor
WPetal,25WP,V,S,0.005,NA,0.005,0.014,NA,0.014,NA,Hyla.versicolor
WPetal,25WP,V,S,0.065,NA,0.065,-0.012,NA,NA,-0.012,Hyla.versicolor
WPetal,25WP,V,S,-0.047,NA,0.047,-0.094,NA,NA,-0.094,Hyla.versicolor
WPetal,25WP,V,S,-0.015,NA,0.015,-0.04,NA,NA,-0.04,Hyla.versicolor
WPetal,26WP,P,L,0.004,0.005,0.004,0.0001,0.001,0.0001,NA,Erysimum.mediohispanicum
WPetal,26WP,P,L,0.024,0.005,0.024,0.0002,0.002,0.0002,NA,Erysimum.mediohispanicum
WPetal,26WP,P,L,0.022,0.006,0.022,0.0001,0.003,0.0001,NA,Erysimum.mediohispanicum
WPetal,26WP,P,L,0.02,0.005,0.02,0,0.002,NA,NA,Erysimum.mediohispanicum
WPetal,27WP,I,S,0.128,NA,0.128,-0.018,NA,NA,-0.018,Teleogryllus.commodus
WPetal,27WP,I,S,-0.021,NA,0.021,-0.264,NA,NA,-0.264,Teleogryllus.commodus
WPetal,27WP,I,S,-0.03,NA,0.03,-0.144,NA,NA,-0.144,Teleogryllus.commodus
WPetal,27WP,I,S,0.025,NA,0.025,-0.25,NA,NA,-0.25,Teleogryllus.commodus
WPetal,27WP,I,S,-0.011,NA,0.011,-0.416,NA,NA,-0.416,Teleogryllus.commodus
WPetal,27WP,I,S,-0.031,NA,0.031,-0.242,NA,NA,-0.242,Teleogryllus.commodus
WPetal,27WP,I,S,0.035,NA,0.035,-0.028,NA,NA,-0.028,Teleogryllus.commodus
WPetal,27WP,I,S,-0.018,NA,0.018,0.008,NA,0.008,NA,Teleogryllus.commodus
WPetal,27WP,I,S,-0.019,NA,0.019,0.048,NA,0.048,NA,Teleogryllus.commodus
WPetal,27WP,I,S,-0.02,NA,0.02,0.012,NA,0.012,NA,Teleogryllus.commodus
WPetal,27WP,I,S,0.004,NA,0.004,-0.002,NA,NA,-0.002,Teleogryllus.commodus
WPetal,27WP,I,S,0.014,NA,0.014,0.078,NA,0.078,NA,Teleogryllus.commodus
WPetal,27WP,I,S,-0.005,NA,0.005,-0.07,NA,NA,-0.07,Teleogryllus.commodus
WPetal,27WP,I,S,0.03,NA,0.03,-0.018,NA,NA,-0.018,Teleogryllus.commodus
WPetal,28WP,V,M,0.056,0.23,0.056,-0.069,0.1,NA,-0.069,Antechinus.stuartii
WPetal,28WP,V,M,0.156,0.17,0.156,0.142,0.14,0.142,NA,Antechinus.stuartii
WPetal,28WP,V,M,-0.11,0.2,0.11,-0.246,0.1,NA,-0.246,Antechinus.stuartii
WPetal,28WP,V,M,-0.06,0.19,0.06,-0.017,0.11,NA,-0.017,Antechinus.stuartii
WPetal,28WP,V,M,0.341,0.17,0.341,0.164,0.16,0.164,NA,Antechinus.stuartii
WPetal,29WP,I,S,0.019,0.132,0.019,NA,NA,NA,NA,Hemideina.crassidens
WPetal,29WP,I,S,-0.247,0.132,0.247,NA,NA,NA,NA,Hemideina.crassidens
WPetal,29WP,I,S,0.25,0.102,0.25,NA,NA,NA,NA,Hemideina.crassidens
WPetal,29WP,I,S,0.082,0.102,0.082,NA,NA,NA,NA,Hemideina.crassidens
WPetal,30WP,I,S,0.29,NA,0.29,NA,NA,NA,NA,Onthophagus.australis
WPetal,30WP,I,S,-0.07,NA,0.07,NA,NA,NA,NA,Onthophagus.australis
WPetal,30WP,I,S,0.04,NA,0.04,NA,NA,NA,NA,Onthophagus.australis
WPetal,30WP,I,S,0.21,NA,0.21,NA,NA,NA,NA,Onthophagus.australis
WPetal,30WP,I,S,-0.34,NA,0.34,NA,NA,NA,NA,Onthophagus.australis
WPetal,30WP,I,S,0.31,NA,0.31,NA,NA,NA,NA,Onthophagus.australis
WPetal,30WP,I,S,0.33,NA,0.33,NA,NA,NA,NA,Onthophagus.australis
WPetal,30WP,I,S,0.11,NA,0.11,NA,NA,NA,NA,Onthophagus.australis
WPetal,30WP,I,S,0.29,NA,0.29,NA,NA,NA,NA,Onthophagus.australis
WPetal,30WP,I,S,0.01,NA,0.01,NA,NA,NA,NA,Onthophagus.australis
WPetal,31WP,V,M,-0.016,NA,0.016,-0.018,NA,NA,-0.018,Limnodynastes.peronii
WPetal,31WP,V,M,-0.069,NA,0.069,-0.046,NA,NA,-0.046,Limnodynastes.peronii
WPetal,31WP,V,M,0.021,NA,0.021,0.027,NA,0.027,NA,Limnodynastes.peronii
WPetal,31WP,V,M,0.105,NA,0.105,0.009,NA,0.009,NA,Limnodynastes.peronii
WPetal,31WP,V,M,0.144,NA,0.144,0.019,NA,0.019,NA,Limnodynastes.peronii
WPetal,31WP,V,M,-0.007,NA,0.007,-0.02,NA,NA,-0.02,Limnodynastes.peronii
WPetal,31WP,V,M,0.021,NA,0.021,-0.004,NA,NA,-0.004,Limnodynastes.peronii
WPetal,31WP,V,M,0.031,NA,0.031,0.009,NA,0.009,NA,Limnodynastes.peronii
WPetal,31WP,V,M,-0.009,NA,0.009,-0.014,NA,NA,-0.014,Limnodynastes.peronii
WPetal,31WP,V,M,-0.009,NA,0.009,0.016,NA,0.016,NA,Limnodynastes.peronii
WPetal,31WP,V,M,-0.095,NA,0.095,0.007,NA,0.007,NA,Limnodynastes.peronii
WPetal,31WP,V,M,0.033,NA,0.033,0.007,NA,0.007,NA,Limnodynastes.peronii
WPetal,31WP,V,M,0.126,NA,0.126,-0.01,NA,NA,-0.01,Limnodynastes.peronii
WPetal,31WP,V,M,0.12,NA,0.12,-0.39,NA,NA,-0.39,Limnodynastes.peronii
WPetal,31WP,V,M,0,NA,0,-0.005,NA,NA,-0.005,Limnodynastes.peronii
WPetal,31WP,V,M,-0.016,NA,0.016,0.013,NA,0.013,NA,Limnodynastes.peronii
WPetal,31WP,V,M,0.033,NA,0.033,-0.015,NA,NA,-0.015,Limnodynastes.peronii
WPetal,31WP,V,M,-0.052,NA,0.052,-0.007,NA,NA,-0.007,Limnodynastes.peronii
WPetal,32WP,V,S,0.252,0.127,0.252,NA,NA,NA,NA,Cervus.elaphus
WPetal,32WP,V,S,0.441,0.184,0.441,NA,NA,NA,NA,Cervus.elaphus
WPetal,34WP,I,S,0.147,0.038,0.147,NA,NA,NA,NA,Elasmucha.putoni
WPetal,34WP,I,S,0.186,0.041,0.186,NA,NA,NA,NA,Elasmucha.putoni
WPetal,34WP,I,S,-0.134,0.039,0.134,NA,NA,NA,NA,Elasmucha.putoni
WPetal,34WP,I,S,-0.017,0.042,0.017,NA,NA,NA,NA,Elasmucha.putoni
WPetal,34WP,I,S,0.017,0.039,0.017,NA,NA,NA,NA,Elasmucha.putoni
WPetal,34WP,I,S,-0.059,0.04,0.059,NA,NA,NA,NA,Elasmucha.putoni
WPetal,34WP,I,S,0.064,0.041,0.064,NA,NA,NA,NA,Elasmucha.putoni
WPetal,34WP,I,S,0.045,0.037,0.045,NA,NA,NA,NA,Elasmucha.putoni
WPetal,35WP,V,S,-0.37,2.87,0.37,NA,NA,NA,NA,Tamiasciurus.hudsonicus
WPetal,36WP,V,M,-0.007,NA,0.007,NA,NA,NA,NA,Propithecus.verreauxi.verreauxi
WPetal,36WP,V,M,-0.051,NA,0.051,NA,NA,NA,NA,Propithecus.verreauxi.verreauxi
WPetal,36WP,V,M,-0.034,NA,0.034,NA,NA,NA,NA,Propithecus.verreauxi.verreauxi
WPetal,36WP,V,M,-0.062,NA,0.062,NA,NA,NA,NA,Propithecus.verreauxi.verreauxi
WPetal,36WP,V,M,0.056,NA,0.056,NA,NA,NA,NA,Propithecus.verreauxi.verreauxi
WPetal,36WP,V,M,0.119,NA,0.119,NA,NA,NA,NA,Propithecus.verreauxi.verreauxi
WPetal,37WP,I,S,0.148,0.037,0.148,NA,NA,NA,NA,Rhamphomyia.sulcata
WPetal,37WP,I,S,-0.035,0.038,0.035,NA,NA,NA,NA,Rhamphomyia.sulcata
WPetal,37WP,I,S,0.043,0.037,0.043,0.01,0.028,0.01,NA,Rhamphomyia.sulcata
WPetal,37WP,I,S,0.407,0.038,0.407,-0.123,0.031,NA,-0.123,Rhamphomyia.sulcata
WPetal,37WP,I,S,-0.074,0.044,0.074,0.049,0.025,0.049,NA,Rhamphomyia.sulcata
WPetal,38WP,I,L,0.32,NA,0.32,NA,NA,NA,NA,Dendraster.excentricus
WPetal,38WP,I,L,0.17,NA,0.17,NA,NA,NA,NA,Dendraster.excentricus
WPetal,38WP,I,L,0.56,NA,0.56,NA,NA,NA,NA,Dendraster.excentricus
WPetal,38WP,I,L,0.56,NA,0.56,NA,NA,NA,NA,Dendraster.excentricus
WPetal,38WP,I,L,0.62,NA,0.62,NA,NA,NA,NA,Dendraster.excentricus
WPetal,38WP,I,L,0.58,NA,0.58,NA,NA,NA,NA,Dendraster.excentricus
WPetal,38WP,I,L,0.97,NA,0.97,NA,NA,NA,NA,Dendraster.excentricus
WPetal,38WP,I,L,0.84,NA,0.84,NA,NA,NA,NA,Dendraster.excentricus
WPetal,38WP,I,L,0.37,NA,0.37,NA,NA,NA,NA,Dendraster.excentricus
WPetal,38WP,I,L,1.56,NA,1.56,NA,NA,NA,NA,Dendraster.excentricus
WPetal,39WP,P,L,NA,NA,NA,-0.237,1.413265306,NA,-0.237,Impatiens.capensis
WPetal,39WP,P,L,-0.8605,0.331122449,0.8605,-0.277,0.156122449,NA,-0.277,Impatiens.capensis
WPetal,39WP,P,L,-0.789,0.423469388,0.789,0.0718,2.198979592,0.0718,NA,Impatiens.capensis
WPetal,39WP,P,L,NA,NA,NA,-1.08,0.969387755,NA,-1.08,Impatiens.capensis
WPetal,39WP,P,L,NA,NA,NA,-1.23,2.158163265,NA,-1.23,Impatiens.capensis
WPetal,39WP,P,L,2.697,0.323979592,2.697,57,21.71428571,57,NA,Impatiens.capensis
WPetal,39WP,P,L,NA,NA,NA,3.16,1.784693878,3.16,NA,Impatiens.capensis
WPetal,39WP,P,L,0.04398,0.196887755,0.04398,0.817,0.70994898,0.817,NA,Impatiens.capensis
WPetal,39WP,P,L,-0.476,0.189285714,0.476,-0.145,0.155102041,NA,-0.145,Impatiens.capensis
WPetal,39WP,P,L,-0.443,0.231887755,0.443,0.526,0.786479592,0.526,NA,Impatiens.capensis
WPetal,39WP,P,L,0.31,0.200892857,0.31,-0.052,0.742346939,NA,-0.052,Impatiens.capensis
WPetal,39WP,P,L,0.2023,0.089821429,0.2023,-0.395,1.109693878,NA,-0.395,Impatiens.capensis
WPetal,39WP,P,L,1.879,0.295918367,1.879,9.29,14.23469388,9.29,NA,Impatiens.capensis
WPetal,39WP,P,L,NA,NA,NA,1.28,0.662755102,1.28,NA,Impatiens.capensis
WPetal,40WP,V,M,1.67,0.36,1.67,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.53,0.17,0.53,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.21,0.16,0.21,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.04,0.27,0.04,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.33,0.16,0.33,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.49,0.48,0.49,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.05,0.2,0.05,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.11,0.14,0.11,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.04,0.07,0.04,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.31,0.2,0.31,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.07,0.14,0.07,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.03,0.11,0.03,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.81,0.24,0.81,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.32,0.09,0.32,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.18,0.07,0.18,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.16,0.19,0.16,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.29,0.13,0.29,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.36,0.12,0.36,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.02,0.15,0.02,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.13,0.22,0.13,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.03,0.01,0.03,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.19,0.16,0.19,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,-0.01,0.11,0.01,NA,NA,NA,NA,Euplectes.ardens
WPetal,40WP,V,M,0.02,0.17,0.02,NA,NA,NA,NA,Euplectes.ardens
WPetal,41WP,I,S,-0.111,NA,0.111,-0.142,NA,NA,-0.142,Phymata.americana
WPetal,41WP,I,S,0.227,NA,0.227,-0.166,NA,NA,-0.166,Phymata.americana
WPetal,41WP,I,S,0.097,NA,0.097,0.003,NA,0.003,NA,Phymata.americana
WPetal,41WP,I,S,0.074,NA,0.074,-0.407,NA,NA,-0.407,Phymata.americana
WPetal,41WP,I,S,-0.218,NA,0.218,0.872,NA,0.872,NA,Phymata.americana
WPetal,41WP,I,S,0.171,NA,0.171,0.259,NA,0.259,NA,Phymata.americana
WPetal,41WP,I,S,-0.256,NA,0.256,1.073,NA,1.073,NA,Phymata.americana
WPetal,41WP,I,S,0.538,NA,0.538,0.27,NA,0.27,NA,Phymata.americana
WPetal,41WP,I,S,0.074,NA,0.074,-0.039,NA,NA,-0.039,Phymata.americana
WPetal,41WP,I,S,0.463,NA,0.463,0.061,NA,0.061,NA,Phymata.americana
WPetal,41WP,I,S,-0.005,NA,0.005,0.043,NA,0.043,NA,Phymata.americana
WPetal,41WP,I,S,-0.085,NA,0.085,-0.297,NA,NA,-0.297,Phymata.americana
WPetal,41WP,I,S,0.537,NA,0.537,-0.051,NA,NA,-0.051,Phymata.americana
WPetal,41WP,I,S,-0.014,NA,0.014,0.253,NA,0.253,NA,Phymata.americana
WPetal,42WP,I,S,0.138,NA,0.138,0.213,NA,0.213,NA,Phymata.americana
WPetal,42WP,I,S,-0.325,NA,0.325,0.539,NA,0.539,NA,Phymata.americana
WPetal,42WP,I,S,0.418,NA,0.418,0.03,NA,0.03,NA,Phymata.americana
WPetal,42WP,I,S,0.233,NA,0.233,0.382,NA,0.382,NA,Phymata.americana
WPetal,42WP,I,S,0.056,NA,0.056,0.049,NA,0.049,NA,Phymata.americana
WPetal,42WP,I,S,-0.073,NA,0.073,0.236,NA,0.236,NA,Phymata.americana
WPetal,42WP,I,S,0.244,NA,0.244,0.185,NA,0.185,NA,Phymata.americana
WPetal,42WP,I,S,0.258,NA,0.258,0.342,NA,0.342,NA,Phymata.americana
WPetal,42WP,I,S,0.107,NA,0.107,0.278,NA,0.278,NA,Phymata.americana
WPetal,42WP,I,S,-0.152,NA,0.152,-0.097,NA,NA,-0.097,Phymata.americana
WPetal,42WP,I,S,0.052,NA,0.052,-0.07,NA,NA,-0.07,Phymata.americana
WPetal,42WP,I,S,-0.314,NA,0.314,-0.025,NA,NA,-0.025,Phymata.americana
WPetal,42WP,I,S,-0.032,NA,0.032,0.082,NA,0.082,NA,Phymata.americana
WPetal,42WP,I,S,-0.042,NA,0.042,0.07,NA,0.07,NA,Phymata.americana
WPetal,42WP,I,S,-0.088,NA,0.088,-0.138,NA,NA,-0.138,Phymata.americana
WPetal,42WP,I,S,0.118,NA,0.118,0.176,NA,0.176,NA,Phymata.americana
WPetal,42WP,I,S,-0.291,NA,0.291,-0.45,NA,NA,-0.45,Phymata.americana
WPetal,42WP,I,S,0.193,NA,0.193,-0.095,NA,NA,-0.095,Phymata.americana
WPetal,42WP,I,S,0.067,NA,0.067,0.527,NA,0.527,NA,Phymata.americana
WPetal,42WP,I,S,-0.008,NA,0.008,-0.228,NA,NA,-0.228,Phymata.americana
WPetal,42WP,I,S,-0.159,NA,0.159,0.307,NA,0.307,NA,Phymata.americana
WPetal,42WP,I,S,0.163,NA,0.163,0.175,NA,0.175,NA,Phymata.americana
WPetal,42WP,I,S,0.554,NA,0.554,1.084,NA,1.084,NA,Phymata.americana
WPetal,42WP,I,S,-0.465,NA,0.465,-0.681,NA,NA,-0.681,Phymata.americana
WPetal,42WP,I,S,-0.024,NA,0.024,-0.112,NA,NA,-0.112,Phymata.americana
WPetal,42WP,I,S,0.305,NA,0.305,0.202,NA,0.202,NA,Phymata.americana
WPetal,42WP,I,S,0.764,NA,0.764,0.329,NA,0.329,NA,Phymata.americana
WPetal,42WP,I,S,-0.468,NA,0.468,-0.283,NA,NA,-0.283,Phymata.americana
WPetal,42WP,I,S,0.122,NA,0.122,0.181,NA,0.181,NA,Phymata.americana
WPetal,42WP,I,S,0.069,NA,0.069,0.243,NA,0.243,NA,Phymata.americana
WPetal,42WP,I,S,0.017,NA,0.017,-0.116,NA,NA,-0.116,Phymata.americana
WPetal,42WP,I,S,0.565,NA,0.565,0.167,NA,0.167,NA,Phymata.americana
WPetal,42WP,I,S,0.39,NA,0.39,0.254,NA,0.254,NA,Phymata.americana
WPetal,42WP,I,S,-0.104,NA,0.104,-0.157,NA,NA,-0.157,Phymata.americana
WPetal,42WP,I,S,-0.52,NA,0.52,0.355,NA,0.355,NA,Phymata.americana
WPetal,42WP,I,S,0.35,NA,0.35,0.282,NA,0.282,NA,Phymata.americana
WPetal,42WP,I,S,-0.123,NA,0.123,-0.146,NA,NA,-0.146,Phymata.americana
WPetal,42WP,I,S,0.738,NA,0.738,0.667,NA,0.667,NA,Phymata.americana
WPetal,42WP,I,S,0.122,NA,0.122,0.195,NA,0.195,NA,Phymata.americana
WPetal,42WP,I,S,-0.222,NA,0.222,-0.545,NA,NA,-0.545,Phymata.americana
WPetal,42WP,I,S,-0.046,NA,0.046,0.032,NA,0.032,NA,Phymata.americana
WPetal,42WP,I,S,-0.059,NA,0.059,-0.186,NA,NA,-0.186,Phymata.americana
WPetal,42WP,I,S,0.182,NA,0.182,0.226,NA,0.226,NA,Phymata.americana
WPetal,43WP,V,M,0.56,0.23,0.56,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,-0.1,0.24,0.1,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,7,0.1,7,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,0.16,0.19,0.16,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,0.08,0.09,0.08,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,-0.05,0.12,0.05,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,-0.14,0.11,0.14,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,-0.02,0.07,0.02,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,-0.06,0.1,0.06,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,0.75,0.23,0.75,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,0.05,0.21,0.05,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,-0.04,0.1,0.04,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,0.23,0.1,0.23,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,-0.02,0.11,0.02,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,0.27,0.13,0.27,NA,NA,NA,NA,Rhodeus.amarus
WPetal,43WP,V,M,0.11,0.12,0.11,NA,NA,NA,NA,Rhodeus.amarus
